width,length,type,region,model,height-min,height-max,stories,shape,library,tags
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
12.0,08.0,residential,,objects/Blacky75/New-Black/RES_12x08_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
12.0,08.0,residential,,objects/Blacky75/New-Black/RES_12x08_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
12.0,08.0,residential,,objects/Blacky75/New-Black/RES_12x08_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
12.0,08.0,residential,,objects/Blacky75/New-Black/RES_12x08_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
13.0,06.0,residential,,objects/Blacky75/New-Black/RES_13x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
13.0,06.0,residential,,objects/Blacky75/New-Black/RES_13x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
13.0,06.0,residential,,objects/Blacky75/New-Black/RES_13x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
13.0,06.0,residential,,objects/Blacky75/New-Black/RES_13x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
14.0,06.0,residential,,objects/Blacky75/New-Black/RES_14x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
14.0,06.0,residential,,objects/Blacky75/New-Black/RES_14x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
14.0,06.0,residential,,objects/Blacky75/New-Black/RES_14x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
14.0,06.0,residential,,objects/Blacky75/New-Black/RES_14x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
15.0,06.0,residential,,objects/Blacky75/New-Black/RES_15x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
15.0,06.0,residential,,objects/Blacky75/New-Black/RES_15x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
15.0,06.0,residential,,objects/Blacky75/New-Black/RES_15x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
15.0,06.0,residential,,objects/Blacky75/New-Black/RES_15x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
16.0,06.0,residential,,objects/Blacky75/New-Black/RES_16x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
16.0,06.0,residential,,objects/Blacky75/New-Black/RES_16x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
16.0,06.0,residential,,objects/Blacky75/New-Black/RES_16x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
