width,length,type,region,model,height-min,height-max,stories,shape,library,tags
14.0,06.0,residential,,objects/Blacky75/New-Red/RES_14x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
14.0,06.0,residential,,objects/Blacky75/New-Red/RES_14x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
14.0,06.0,residential,,objects/Blacky75/New-Red/RES_14x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
15.0,06.0,residential,,objects/Blacky75/New-Red/RES_15x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
15.0,06.0,residential,,objects/Blacky75/New-Red/RES_15x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
15.0,06.0,residential,,objects/Blacky75/New-Red/RES_15x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
15.0,06.0,residential,,objects/Blacky75/New-Red/RES_15x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
16.0,06.0,residential,,objects/Blacky75/New-Red/RES_16x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
16.0,06.0,residential,,objects/Blacky75/New-Red/RES_16x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
16.0,06.0,residential,,objects/Blacky75/New-Red/RES_16x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
16.0,06.0,residential,,objects/Blacky75/New-Red/RES_16x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
17.0,06.0,residential,,objects/Blacky75/New-Red/RES_17x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
17.0,06.0,residential,,objects/Blacky75/New-Red/RES_17x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
17.0,06.0,residential,,objects/Blacky75/New-Red/RES_17x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
17.0,06.0,residential,,objects/Blacky75/New-Red/RES_17x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
18.0,06.0,residential,,objects/Blacky75/New-Red/RES_18x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
18.0,06.0,residential,,objects/Blacky75/New-Red/RES_18x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
18.0,06.0,residential,,objects/Blacky75/New-Red/RES_18x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
18.0,06.0,residential,,objects/Blacky75/New-Red/RES_18x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
19.0,06.0,residential,,objects/Blacky75/New-Red/RES_19x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
19.0,06.0,residential,,objects/Blacky75/New-Red/RES_19x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
19.0,06.0,residential,,objects/Blacky75/New-Red/RES_19x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
19.0,06.0,residential,,objects/Blacky75/New-Red/RES_19x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
20.0,06.0,residential,,objects/Blacky75/New-Red/RES_20x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
20.0,06.0,residential,,objects/Blacky75/New-Red/RES_20x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
20.0,06.0,residential,,objects/Blacky75/New-Red/RES_20x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
20.0,06.0,residential,,objects/Blacky75/New-Red/RES_20x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
13.0,07.0,residential,,objects/Blacky75/New-Red/RES_13x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
13.0,07.0,residential,,objects/Blacky75/New-Red/RES_13x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
13.0,07.0,residential,,objects/Blacky75/New-Red/RES_13x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
13.0,07.0,residential,,objects/Blacky75/New-Red/RES_13x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
14.0,07.0,residential,,objects/Blacky75/New-Red/RES_14x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
14.0,07.0,residential,,objects/Blacky75/New-Red/RES_14x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
14.0,07.0,residential,,objects/Blacky75/New-Red/RES_14x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
14.0,07.0,residential,,objects/Blacky75/New-Red/RES_14x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
15.0,07.0,residential,,objects/Blacky75/New-Red/RES_15x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
15.0,07.0,residential,,objects/Blacky75/New-Red/RES_15x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
15.0,07.0,residential,,objects/Blacky75/New-Red/RES_15x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
15.0,07.0,residential,,objects/Blacky75/New-Red/RES_15x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
16.0,07.0,residential,,objects/Blacky75/New-Red/RES_16x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
16.0,07.0,residential,,objects/Blacky75/New-Red/RES_16x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
16.0,07.0,residential,,objects/Blacky75/New-Red/RES_16x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
16.0,07.0,residential,,objects/Blacky75/New-Red/RES_16x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
17.0,07.0,residential,,objects/Blacky75/New-Red/RES_17x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
17.0,07.0,residential,,objects/Blacky75/New-Red/RES_17x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
17.0,07.0,residential,,objects/Blacky75/New-Red/RES_17x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
17.0,07.0,residential,,objects/Blacky75/New-Red/RES_17x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
18.0,07.0,residential,,objects/Blacky75/New-Red/RES_18x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
18.0,07.0,residential,,objects/Blacky75/New-Red/RES_18x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
18.0,07.0,residential,,objects/Blacky75/New-Red/RES_18x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
18.0,07.0,residential,,objects/Blacky75/New-Red/RES_18x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
19.0,07.0,residential,,objects/Blacky75/New-Red/RES_19x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
19.0,07.0,residential,,objects/Blacky75/New-Red/RES_19x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
19.0,07.0,residential,,objects/Blacky75/New-Red/RES_19x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
19.0,07.0,residential,,objects/Blacky75/New-Red/RES_19x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
20.0,07.0,residential,,objects/Blacky75/New-Red/RES_20x07_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
20.0,07.0,residential,,objects/Blacky75/New-Red/RES_20x07_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
20.0,07.0,residential,,objects/Blacky75/New-Red/RES_20x07_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
20.0,07.0,residential,,objects/Blacky75/New-Red/RES_20x07_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new

5.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x05_TypeNew1_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
5.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x05_TypeNew1_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
5.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x05_TypeNew1_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
5.0,6.0,residential,,objects/Blacky75/New-Red/RES_06x05_TypeNew1_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
