"width","length","type","region","model","height-min","height-max","stories"
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_3.obj",,,
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_4.obj",,,
06.14.00,08.12.00,"residential","GB","objects/houses/EU/GB/R_5.74x8.12_UK_1.obj",,,
06.14.00,08.12.00,"residential","GB","objects/houses/EU/GB/R_5.74x8.12_UK_2.obj",,,
06.14.00,08.12.00,"residential","GB","objects/houses/EU/GB/R_5.74x8.12_UK_3.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.60.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.60a.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.brownsstone.60.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.brownsstone.60a.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.beige.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.blau.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.gruen.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.rot.obj",,,
07.55.00,08.28.00,"residential","GB","objects/houses/EU/GB/R_7.55x7.88_UK_1.obj",,,
07.55.00,08.28.00,"residential","GB","objects/houses/EU/GB/R_7.55x7.88_UK_2.obj",,,
08.05.00,10.04.00,"residential","GB","objects/houses/EU/GB/R_7.65x10.4_UK_1.obj",,,
08.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10a.obj",,,
08.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10b.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20a.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20b.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20c.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20d.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25a.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25b.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25c.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25d.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30a.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30b.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30c.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30d.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35a.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35b.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35c.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35d.obj",,,
08.06.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10g.obj",,,
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15a.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15b.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15c.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15d.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15e.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15f.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15g.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15h.obj",,,1
09.00.00,08.00.00,"residential","GB","objects/houses/EU/GB/R_9.0x8.0_UK.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10c.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10d.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10e.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10f.obj",,,
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19a.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19b.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19c.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19d.obj",,,1
